raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
1016,817,1,8,4,4,69,6,7,0
1016,822,2,67,131,6,70,4,7,0
1016,825,1,39,210,0,68,17,7,0
1016,826,1,12,5,10,69,10,7,0
1016,830,1,48,9,9,70,5,7,0
1016,832,1,3,1,11,69,11,7,0
1016,840,1,45,211,17,69,9,7,0
1016,841,1,33,51,12,69,13,7,0
1016,842,1,7,9,5,69,8,7,0
1016,844,1,33,6,3,70,3,7,1
1016,847,1,9,3,18,68,16,7,0
1017,1,1,24,131,1,53,1,34,1
1017,8,1,31,51,12,52,7,34,0
1017,9,1,24,3,18,51,18,34,0
1017,20,2,51,6,7,53,5,34,0
1017,154,1,31,210,16,44,20,34,0
1017,807,1,34,4,13,52,8,34,0
1017,815,1,18,211,14,52,12,34,0
1017,817,1,16,4,8,52,11,34,0
1017,822,1,23,131,2,53,2,34,1
1017,825,1,16,210,15,52,17,34,0
1017,826,1,32,5,19,52,14,34,0
1017,830,1,20,9,4,53,4,34,0
1017,832,1,19,1,6,53,6,34,0
1017,840,1,39,211,17,52,13,34,0
1017,841,2,34,51,10,52,16,34,0
1017,842,1,17,9,9,52,10,34,0
1017,844,1,21,6,3,53,3,34,1
1017,846,1,18,1,5,52,9,34,0
1017,847,2,33,3,20,51,19,34,0
1017,848,1,25,5,11,52,15,34,0
1018,1,1,30,131,4,71,5,70,0
1018,8,1,23,51,6,70,9,70,0
1018,9,1,19,3,17,68,20,70,0
1018,20,2,50,6,9,71,4,70,0
1018,154,1,34,210,11,70,16,70,0
1018,807,1,26,4,15,70,13,70,0
1018,815,1,28,211,13,70,11,70,0
1018,817,1,46,4,12,70,12,70,0
1018,822,1,21,131,3,71,3,70,1
1018,825,3,62,210,10,69,19,70,0
1018,826,1,32,5,16,70,17,70,0
1018,830,1,31,9,2,71,1,70,1
1018,832,1,41,1,19,70,8,70,0
1018,840,1,25,211,14,70,14,70,0
1018,841,1,24,51,7,70,10,70,0
1018,842,1,25,9,8,70,7,70,0
1018,844,1,22,6,1,71,2,70,1
1018,846,1,25,1,5,70,6,70,0
1018,847,1,27,3,0,69,18,70,0
1018,848,1,35,5,18,70,15,70,0
1019,1,1,20,131,2,52,1,9,1
1019,8,1,17,51,12,52,8,9,0
1019,9,1,20,3,20,51,15,9,0
1019,20,2,38,6,6,51,16,9,0
1019,807,1,13,4,10,52,10,9,0
1019,815,3,46,211,15,51,17,9,0
1019,817,2,20,4,7,52,7,9,0
1019,822,2,45,131,1,52,2,9,1
1019,826,2,21,5,17,52,9,9,0
1019,830,2,20,9,4,52,5,9,0
1019,832,1,20,1,13,52,6,9,0
1019,840,2,39,211,18,52,13,9,0
1019,842,1,12,9,5,52,4,9,0
1019,844,2,21,6,3,52,3,9,1
1019,846,2,35,1,8,52,11,9,0
1019,847,1,21,3,19,51,14,9,0
1019,848,1,13,5,9,52,12,9,0
1020,1,6,56,131,1,64,9,10,0
1020,8,4,47,51,5,64,12,10,0
1020,9,5,57,3,18,64,10,10,0
1020,20,5,47,6,20,64,2,10,1
1020,154,5,46,210,6,64,7,10,0
1020,825,6,57,210,12,64,8,10,0
1020,826,4,45,5,14,64,3,10,1
1020,830,5,46,9,2,64,1,10,1
1020,832,3,46,1,7,64,5,10,0
1020,840,5,44,211,15,64,4,10,0
1020,841,4,47,51,11,64,13,10,0
1020,842,4,46,9,4,61,14,10,0
1020,847,5,57,3,17,64,11,10,0
1020,848,4,46,5,16,64,6,10,0
1021,1,2,48,131,3,70,1,11,1
1021,8,1,29,51,10,69,7,11,0
1021,9,1,18,3,19,67,19,11,0
1021,20,1,39,6,5,70,3,11,1
1021,807,1,36,4,11,69,12,11,0
1021,815,1,18,211,16,69,11,11,0
1021,817,1,46,4,20,69,14,11,0
1021,822,2,46,131,2,69,8,11,0
1021,825,1,38,210,14,69,13,11,0
1021,826,1,21,5,13,68,15,11,0
1021,830,2,67,9,1,70,2,11,1
1021,832,1,29,1,8,69,5,11,0
1021,840,2,50,211,18,68,17,11,0
1021,841,1,15,51,17,68,18,11,0
1021,842,1,28,9,6,69,6,11,0
1021,844,1,27,6,4,70,4,11,0
1021,846,1,28,1,7,69,9,11,0
1021,847,1,16,3,15,68,16,11,0
1021,848,1,28,5,12,69,10,11,0
1022,1,1,22,131,3,44,2,13,1
1022,8,3,31,51,6,43,16,13,0
1022,9,1,31,3,0,43,17,13,0
1022,20,2,33,6,2,44,4,13,0
1022,154,1,16,210,9,43,13,13,0
1022,807,2,31,4,12,44,8,13,0
1022,815,1,15,211,7,44,6,13,0
1022,817,1,1,4,10,43,14,13,0
1022,822,1,23,131,4,44,3,13,1
1022,825,1,25,210,8,43,12,13,0
1022,826,1,24,5,19,44,7,13,0
1022,840,2,30,211,16,44,10,13,0
1022,841,1,29,51,18,42,18,13,0
1022,842,1,13,5,13,44,9,13,0
1022,844,1,21,6,1,44,1,13,1
1022,846,1,19,1,11,43,11,13,0
1022,847,1,30,3,14,43,15,13,0
1022,848,1,23,9,17,44,5,13,0
1023,1,2,49,131,2,53,3,14,1
1023,8,2,26,51,0,52,15,14,0
1023,9,2,44,3,15,51,17,14,0
1023,20,3,41,6,4,52,13,14,0
1023,154,2,29,210,13,52,16,14,0
1023,807,1,29,4,6,53,5,14,0
1023,815,1,28,211,18,53,7,14,0
1023,817,1,30,4,5,53,4,14,0
1023,822,1,27,131,3,53,2,14,1
1023,830,2,27,9,19,53,8,14,0
1023,840,2,22,211,9,52,12,14,0
1023,841,1,21,51,10,52,9,14,0
1023,842,1,28,5,17,52,11,14,0
1023,844,1,20,6,1,53,1,14,1
1023,846,1,23,1,16,52,10,14,0
1023,847,1,23,3,14,52,14,14,0
1023,848,1,26,9,8,53,6,14,0
1024,1,1,26,131,2,61,4,15,0
1024,9,2,44,3,19,61,16,15,0
1024,20,1,19,6,3,61,1,15,1
1024,154,2,35,210,17,61,11,15,0
1024,807,2,36,4,8,61,9,15,0
1024,817,1,34,4,20,61,14,15,0
1024,822,1,22,131,5,61,5,15,0
1024,825,2,56,210,13,61,17,15,0
1024,826,2,36,5,14,61,15,15,0
1024,830,1,19,9,4,61,3,15,1
1024,832,2,35,1,7,61,12,15,0
1024,840,3,44,211,16,61,13,15,0
1024,841,2,36,51,10,61,10,15,0
1024,842,1,32,5,11,61,8,15,0
1024,844,1,20,6,1,61,2,15,1
1024,846,1,20,1,9,61,7,15,0
1024,848,1,20,9,6,61,6,15,0
1025,1,1,28,131,2,53,1,71,1
1025,8,2,27,51,15,53,13,71,0
1025,807,2,29,4,6,53,10,71,0
1025,815,1,23,211,11,53,7,71,0
1025,822,1,28,131,4,53,2,71,1
1025,825,1,27,210,13,53,9,71,0
1025,826,2,29,5,19,53,12,71,0
1025,830,1,28,9,9,53,4,71,0
1025,832,1,21,1,5,53,6,71,0
1025,840,1,27,211,14,53,11,71,0
1025,841,2,27,51,12,53,15,71,0
1025,842,1,26,5,16,53,14,71,0
1025,844,2,30,6,1,53,3,71,1
1025,846,1,20,1,7,53,8,71,0
1025,848,1,29,9,0,53,5,71,0
1026,1,2,42,131,4,52,3,22,1
1026,8,2,36,51,13,51,12,22,0
1026,9,2,33,3,0,50,16,22,0
1026,20,2,31,6,1,52,2,22,1
1026,154,1,16,210,10,51,13,22,0
1026,815,2,41,211,17,51,8,22,0
1026,822,2,36,131,3,52,1,22,1
1026,825,2,47,210,19,51,15,22,0
1026,826,1,27,5,14,51,10,22,0
1026,832,1,26,1,7,52,5,22,0
1026,840,1,18,211,12,51,9,22,0
1026,841,2,49,51,11,51,14,22,0
1026,842,1,18,5,9,51,7,22,0
1026,844,3,46,6,2,51,6,22,0
1026,846,2,25,1,8,51,11,22,0
1026,847,1,25,3,18,50,16,22,0
1026,848,2,34,9,6,52,4,22,0
1027,1,1,23,131,3,71,1,32,1
1027,9,2,60,3,20,69,18,32,0
1027,20,1,37,6,2,71,2,32,1
1027,154,1,37,210,18,69,17,32,0
1027,807,1,18,4,12,70,10,32,0
1027,815,1,20,211,11,71,7,32,0
1027,817,1,50,4,13,71,8,32,0
1027,822,1,36,131,6,71,3,32,1
1027,825,1,28,210,17,69,15,32,0
1027,826,2,44,5,9,70,11,32,0
1027,830,1,5,9,4,71,6,32,0
1027,832,2,35,1,7,70,13,32,0
1027,840,1,37,211,16,70,12,32,0
1027,841,1,21,51,15,70,14,32,0
1027,842,2,49,5,10,70,9,32,0
1027,844,2,43,6,1,71,4,32,0
1027,847,1,22,3,19,69,16,32,0
1027,848,2,44,9,5,71,5,32,0
1028,1,1,24,131,5,56,2,69,1
1028,8,2,40,51,17,55,11,69,0
1028,154,1,24,210,15,55,15,69,0
1028,807,2,39,4,11,55,9,69,0
1028,815,1,24,211,0,55,10,69,0
1028,817,1,21,4,9,56,6,69,0
1028,822,2,35,131,1,56,1,69,1
1028,825,2,40,210,12,52,18,69,0
1028,826,2,39,5,13,55,12,69,0
1028,830,2,34,9,3,56,3,69,1
1028,832,1,18,1,7,55,8,69,0
1028,840,2,29,211,14,55,13,69,0
1028,841,2,39,51,16,55,14,69,0
1028,842,2,53,5,10,54,16,69,0
1028,844,2,42,6,4,56,4,69,0
1028,846,2,42,1,8,56,7,69,0
1028,847,2,46,3,18,54,17,69,0
1028,848,3,40,9,6,56,5,69,0
1029,1,3,66,131,3,71,7,18,0
1029,8,2,47,51,8,71,4,18,0
